ID,Stagione,Giornata,Data,CASA,TRAS,GC,GT
19293008TORJUV,1929-30,8,24/11/1929,TORINO,JUVENTUS,0.0,0.0
19293008TRIGEN,1929-30,8,24/11/1929,TRIESTINA,GENOA,0.0,2.0
19293009BRETOR,1929-30,9,08/12/1929,BRESCIA,TORINO,0.0,2.0
19293009GENPAD,1929-30,9,08/12/1929,GENOA,PADOVA,8.0,0.0
19293009INTTRI,1929-30,9,08/12/1929,INTER,TRIESTINA,1.0,2.0
19293009JUVMIL,1929-30,9,08/12/1929,JUVENTUS,MILAN,3.0,1.0
19293009LAZROM,1929-30,9,08/12/1929,LAZIO,ROMA,0.0,1.0
19293009LIVBOL,1929-30,9,08/12/1929,LIVORNO,BOLOGNA,0.0,2.0
19293009MODPRO,1929-30,9,08/12/1929,MODENA,PRO PATRIA,2.0,1.0
19293009NAPCRE,1929-30,9,08/12/1929,NAPOLI,CREMONESE,3.0,0.0
19293009PROALE,1929-30,9,08/12/1929,PRO VERCELLI,ALESSANDRIA,2.0,2.0
19293010ALEINT,1929-30,10,15/12/1929,ALESSANDRIA,INTER,1.0,2.0
19293010BOLJUV,1929-30,10,15/12/1929,BOLOGNA,JUVENTUS,0.0,1.0
19293010BRELAZ,1929-30,10,15/12/1929,BRESCIA,LAZIO,3.0,2.0
19293010MILCRE,1929-30,10,15/12/1929,MILAN,CREMONESE,5.0,2.0
19293010PRONAP,1929-30,10,15/12/1929,PRO PATRIA,NAPOLI,3.0,2.0
19293010PROPAD,1929-30,10,15/12/1929,PRO VERCELLI,PADOVA,5.0,1.0
19293010ROMGEN,1929-30,10,15/12/1929,ROMA,GENOA,2.0,0.0
19293010TORMOD,1929-30,10,15/12/1929,TORINO,MODENA,0.0,0.0
19293010TRILIV,1929-30,10,15/12/1929,TRIESTINA,LIVORNO,3.0,0.0
19293011CRETOR,1929-30,11,22/12/1929,CREMONESE,TORINO,0.0,1.0
19293011GENBOL,1929-30,11,22/12/1929,GENOA,BOLOGNA,2.0,0.0
19293011JUVBRE,1929-30,11,22/12/1929,JUVENTUS,BRESCIA,0.0,0.0
19293011LAZPAD,1929-30,11,22/12/1929,LAZIO,PADOVA,4.0,0.0
19293011LIVROM,1929-30,11,22/12/1929,LIVORNO,ROMA,1.0,0.0
19293011MILALE,1929-30,11,22/12/1929,MILAN,ALESSANDRIA,0.0,1.0
19293011NAPPRO,1929-30,11,22/12/1929,NAPOLI,PRO VERCELLI,1.0,1.0
19293011PROINT,1929-30,11,22/12/1929,PRO PATRIA,INTER,0.0,0.0
19293011TRIMOD,1929-30,11,22/12/1929,TRIESTINA,MODENA,0.0,1.0
19293012BOLALE,1929-30,12,05/01/1930,BOLOGNA,ALESSANDRIA,1.0,2.0
19293012CRELIV,1929-30,12,05/01/1930,CREMONESE,LIVORNO,1.0,2.0
19293012GENBRE,1929-30,12,05/01/1930,GENOA,BRESCIA,1.0,0.0
19293012INTNAP,1929-30,12,05/01/1930,INTER,NAPOLI,2.0,1.0
19293012LAZPRO,1929-30,12,05/01/1930,LAZIO,PRO PATRIA,2.0,1.0
19293012MODROM,1929-30,12,05/01/1930,MODENA,ROMA,1.0,2.0
19293012PADMIL,1929-30,12,05/01/1930,PADOVA,MILAN,1.0,1.0
19293012TORPRO,1929-30,12,05/01/1930,TORINO,PRO VERCELLI,5.0,1.0
19293012TRIJUV,1929-30,12,05/01/1930,TRIESTINA,JUVENTUS,0.0,1.0
19293013ALETRI,1929-30,13,12/01/1930,ALESSANDRIA,TRIESTINA,4.0,1.0
19293013BREINT,1929-30,13,12/01/1930,BRESCIA,INTER,0.0,0.0
19293013MILPRO,1929-30,13,12/01/1930,MILAN,PRO PATRIA,3.0,2.0
19293013MODBOL,1929-30,13,12/01/1930,MODENA,BOLOGNA,1.0,2.0
19293013NAPGEN,1929-30,13,12/01/1930,NAPOLI,GENOA,1.0,2.0
19293013PADCRE,1929-30,13,12/01/1930,PADOVA,CREMONESE,0.0,1.0
19293013PROLIV,1929-30,13,12/01/1930,PRO VERCELLI,LIVORNO,4.0,1.0
19293013ROMJUV,1929-30,13,12/01/1930,ROMA,JUVENTUS,2.0,3.0
19293013TORLAZ,1929-30,13,12/01/1930,TORINO,LAZIO,1.0,0.0
19293014BOLBRE,1929-30,14,19/01/1930,BOLOGNA,BRESCIA,0.0,0.0
19293014CREMOD,1929-30,14,19/01/1930,CREMONESE,MODENA,2.0,2.0
19293014INTTOR,1929-30,14,19/01/1930,INTER,TORINO,3.0,0.0
19293014JUVGEN,1929-30,14,19/01/1930,JUVENTUS,GENOA,0.0,0.0
19293014LAZNAP,1929-30,14,19/01/1930,LAZIO,NAPOLI,0.0,2.0
19293014LIVALE,1929-30,14,19/01/1930,LIVORNO,ALESSANDRIA,2.0,1.0
19293014PROROM,1929-30,14,19/01/1930,PRO PATRIA,ROMA,6.0,1.0
19293014PROMIL,1929-30,14,19/01/1930,PRO VERCELLI,MILAN,0.0,1.0
19293014TRIPAD,1929-30,14,19/01/1930,TRIESTINA,PADOVA,2.0,1.0
19293015ALENAP,1929-30,15,19/03/1930,ALESSANDRIA,NAPOLI,2.0,1.0
19293015BOLCRE,1929-30,15,26/01/1930,BOLOGNA,CREMONESE,4.0,1.0
19293015BREMOD,1929-30,15,26/01/1930,BRESCIA,MODENA,3.0,2.0
19293015GENINT,1929-30,15,26/01/1930,GENOA,INTER,1.0,4.0
19293015LAZLIV,1929-30,15,26/01/1930,LAZIO,LIVORNO,3.0,1.0
19293015MILTRI,1929-30,15,26/01/1930,MILAN,TRIESTINA,2.0,1.0
19293015PADJUV,1929-30,15,26/01/1930,PADOVA,JUVENTUS,2.0,1.0
