Squadra;Anno;Scudetti
INTER;1960;7
BOLOGNA;1960;6
TORINO;1960;6
ROMA;1960;1
FIORENTINA;1960;1
GENOA;1961;9
MILAN;1961;7
JUVENTUS;1961;12
PRO VERCELLI;1961;7
CASALE;1961;1
INTER;1961;7
BOLOGNA;1961;6
TORINO;1961;6
ROMA;1961;1
FIORENTINA;1961;1
GENOA;1962;9
MILAN;1962;8
JUVENTUS;1962;12
PRO VERCELLI;1962;7
CASALE;1962;1
INTER;1962;7
BOLOGNA;1962;6
TORINO;1962;6
ROMA;1962;1
FIORENTINA;1962;1
GENOA;1963;9
MILAN;1963;8
JUVENTUS;1963;12
PRO VERCELLI;1963;7
CASALE;1963;1
INTER;1963;8
BOLOGNA;1963;6
TORINO;1963;6
ROMA;1963;1
FIORENTINA;1963;1
GENOA;1964;9
MILAN;1964;8
JUVENTUS;1964;12
PRO VERCELLI;1964;7
CASALE;1964;1
INTER;1964;8
BOLOGNA;1964;7
TORINO;1964;6
ROMA;1964;1
FIORENTINA;1964;1
GENOA;1965;9
MILAN;1965;8
JUVENTUS;1965;12
PRO VERCELLI;1965;7
CASALE;1965;1
INTER;1965;9
BOLOGNA;1965;7
TORINO;1965;6
ROMA;1965;1
FIORENTINA;1965;1
GENOA;1966;9
MILAN;1966;8
JUVENTUS;1966;12
PRO VERCELLI;1966;7
CASALE;1966;1
INTER;1966;10
BOLOGNA;1966;7
TORINO;1966;6
ROMA;1966;1
FIORENTINA;1966;1
GENOA;1967;9
MILAN;1967;8
JUVENTUS;1967;13
PRO VERCELLI;1967;7
CASALE;1967;1
INTER;1967;10
BOLOGNA;1967;7
TORINO;1967;6
ROMA;1967;1
FIORENTINA;1967;1
GENOA;1968;9
MILAN;1968;9
JUVENTUS;1968;13
PRO VERCELLI;1968;7
CASALE;1968;1
INTER;1968;10
BOLOGNA;1968;7
TORINO;1968;6
ROMA;1968;1
FIORENTINA;1968;1
GENOA;1969;9
MILAN;1969;9
JUVENTUS;1969;13
PRO VERCELLI;1969;7
CASALE;1969;1
INTER;1969;10
BOLOGNA;1969;7
TORINO;1969;6
ROMA;1969;1
FIORENTINA;1969;2
GENOA;1970;9
MILAN;1970;9
JUVENTUS;1970;13
PRO VERCELLI;1970;7
CASALE;1970;1
INTER;1970;10
BOLOGNA;1970;7
TORINO;1970;6
ROMA;1970;1
FIORENTINA;1970;2
CAGLIARI;1970;1
GENOA;1971;9
MILAN;1971;9
JUVENTUS;1971;13
PRO VERCELLI;1971;7
CASALE;1971;1
INTER;1971;11
BOLOGNA;1971;7
TORINO;1971;6
ROMA;1971;1
FIORENTINA;1971;2
CAGLIARI;1971;1
GENOA;1972;9
MILAN;1972;9
JUVENTUS;1972;14
PRO VERCELLI;1972;7
CASALE;1972;1
INTER;1972;11
BOLOGNA;1972;7
TORINO;1972;6
ROMA;1972;1
FIORENTINA;1972;2
CAGLIARI;1972;1
GENOA;1973;9
MILAN;1973;9
JUVENTUS;1973;15
PRO VERCELLI;1973;7
CASALE;1973;1
INTER;1973;11
BOLOGNA;1973;7
TORINO;1973;6
ROMA;1973;1
FIORENTINA;1973;2
CAGLIARI;1973;1
GENOA;1974;9
MILAN;1974;9
JUVENTUS;1974;15
PRO VERCELLI;1974;7
CASALE;1974;1
INTER;1974;11
BOLOGNA;1974;7
TORINO;1974;6
ROMA;1974;1
FIORENTINA;1974;2
CAGLIARI;1974;1
LAZIO;1974;1
GENOA;1975;9
MILAN;1975;9
JUVENTUS;1975;16
PRO VERCELLI;1975;7
CASALE;1975;1
INTER;1975;11
BOLOGNA;1975;7
TORINO;1975;6
ROMA;1975;1
FIORENTINA;1975;2
CAGLIARI;1975;1
LAZIO;1975;1
GENOA;1976;9
MILAN;1976;9
JUVENTUS;1976;16
PRO VERCELLI;1976;7
CASALE;1976;1
INTER;1976;11
BOLOGNA;1976;7
TORINO;1976;7
ROMA;1976;1
FIORENTINA;1976;2
CAGLIARI;1976;1
LAZIO;1976;1
GENOA;1977;9
MILAN;1977;9
JUVENTUS;1977;17
PRO VERCELLI;1977;7
CASALE;1977;1
INTER;1977;11
BOLOGNA;1977;7
TORINO;1977;7
ROMA;1977;1
FIORENTINA;1977;2
CAGLIARI;1977;1
LAZIO;1977;1
GENOA;1978;9
MILAN;1978;9
JUVENTUS;1978;18
PRO VERCELLI;1978;7
CASALE;1978;1
INTER;1978;11
BOLOGNA;1978;7
TORINO;1978;7
ROMA;1978;1
FIORENTINA;1978;2
CAGLIARI;1978;1
LAZIO;1978;1
GENOA;1979;9
MILAN;1979;10
JUVENTUS;1979;18
PRO VERCELLI;1979;7
CASALE;1979;1
INTER;1979;11
BOLOGNA;1979;7
TORINO;1979;7
ROMA;1979;1
FIORENTINA;1979;2
CAGLIARI;1979;1
LAZIO;1979;1
GENOA;1980;9
MILAN;1980;10
JUVENTUS;1980;18
PRO VERCELLI;1980;7
CASALE;1980;1
INTER;1980;12
BOLOGNA;1980;7
TORINO;1980;7
ROMA;1980;1
FIORENTINA;1980;2
CAGLIARI;1980;1
LAZIO;1980;1
GENOA;1981;9
MILAN;1981;10
JUVENTUS;1981;19
PRO VERCELLI;1981;7
CASALE;1981;1
INTER;1981;12
BOLOGNA;1981;7
TORINO;1981;7
ROMA;1981;1
FIORENTINA;1981;2
CAGLIARI;1981;1
LAZIO;1981;1
GENOA;1982;9
MILAN;1982;10
JUVENTUS;1982;20
PRO VERCELLI;1982;7
CASALE;1982;1
INTER;1982;12
BOLOGNA;1982;7
TORINO;1982;7
ROMA;1982;1
FIORENTINA;1982;2
CAGLIARI;1982;1
LAZIO;1982;1
GENOA;1983;9
MILAN;1983;10
JUVENTUS;1983;20
PRO VERCELLI;1983;7
CASALE;1983;1
INTER;1983;12
BOLOGNA;1983;7
TORINO;1983;7
ROMA;1983;2
FIORENTINA;1983;2
CAGLIARI;1983;1
LAZIO;1983;1
GENOA;1984;9
MILAN;1984;10
JUVENTUS;1984;21
PRO VERCELLI;1984;7
CASALE;1984;1
INTER;1984;12
BOLOGNA;1984;7
TORINO;1984;7
ROMA;1984;2
FIORENTINA;1984;2
CAGLIARI;1984;1
LAZIO;1984;1
GENOA;1985;9
MILAN;1985;10
JUVENTUS;1985;21
PRO VERCELLI;1985;7
CASALE;1985;1
INTER;1985;12
BOLOGNA;1985;7
TORINO;1985;7
ROMA;1985;2
FIORENTINA;1985;2
CAGLIARI;1985;1
LAZIO;1985;1
VERONA;1985;1
GENOA;1986;9
MILAN;1986;10
JUVENTUS;1986;22
PRO VERCELLI;1986;7
CASALE;1986;1
INTER;1986;12
BOLOGNA;1986;7
TORINO;1986;7
ROMA;1986;2
FIORENTINA;1986;2
CAGLIARI;1986;1
LAZIO;1986;1
VERONA;1986;1
GENOA;1987;9
MILAN;1987;10
JUVENTUS;1987;22
PRO VERCELLI;1987;7
CASALE;1987;1
INTER;1987;12
BOLOGNA;1987;7
TORINO;1987;7
ROMA;1987;2
FIORENTINA;1987;2
CAGLIARI;1987;1
LAZIO;1987;1
VERONA;1987;1
NAPOLI;1987;1
GENOA;1988;9
MILAN;1988;11
JUVENTUS;1988;22
PRO VERCELLI;1988;7
CASALE;1988;1
INTER;1988;12
BOLOGNA;1988;7
TORINO;1988;7
ROMA;1988;2
FIORENTINA;1988;2
CAGLIARI;1988;1
LAZIO;1988;1
VERONA;1988;1
NAPOLI;1988;1
GENOA;1989;9
MILAN;1989;11
JUVENTUS;1989;22
PRO VERCELLI;1989;7
CASALE;1989;1
INTER;1989;13
BOLOGNA;1989;7
TORINO;1989;7
ROMA;1989;2
FIORENTINA;1989;2
CAGLIARI;1989;1
LAZIO;1989;1
VERONA;1989;1
NAPOLI;1989;1
GENOA;1990;9
MILAN;1990;11
JUVENTUS;1990;22
PRO VERCELLI;1990;7
CASALE;1990;1
INTER;1990;13
BOLOGNA;1990;7
TORINO;1990;7
ROMA;1990;2
FIORENTINA;1990;2
CAGLIARI;1990;1
LAZIO;1990;1
VERONA;1990;1
NAPOLI;1990;2
GENOA;1991;9
MILAN;1991;11
JUVENTUS;1991;22
PRO VERCELLI;1991;7
CASALE;1991;1
INTER;1991;13
BOLOGNA;1991;7
TORINO;1991;7
ROMA;1991;2
FIORENTINA;1991;2
CAGLIARI;1991;1
LAZIO;1991;1
VERONA;1991;1
NAPOLI;1991;2
SAMPDORIA;1991;1
GENOA;1992;9
MILAN;1992;12
JUVENTUS;1992;22
PRO VERCELLI;1992;7
CASALE;1992;1
INTER;1992;13
BOLOGNA;1992;7
TORINO;1992;7
ROMA;1992;2
FIORENTINA;1992;2
CAGLIARI;1992;1
LAZIO;1992;1
VERONA;1992;1
NAPOLI;1992;2
SAMPDORIA;1992;1
GENOA;1993;9
MILAN;1993;13
JUVENTUS;1993;22
PRO VERCELLI;1993;7
CASALE;1993;1
INTER;1993;13
BOLOGNA;1993;7
TORINO;1993;7
ROMA;1993;2
FIORENTINA;1993;2
CAGLIARI;1993;1
LAZIO;1993;1
VERONA;1993;1
NAPOLI;1993;2
SAMPDORIA;1993;1
GENOA;1994;9
MILAN;1994;14
JUVENTUS;1994;22
PRO VERCELLI;1994;7
CASALE;1994;1
INTER;1994;13
BOLOGNA;1994;7
TORINO;1994;7
ROMA;1994;2
FIORENTINA;1994;2
CAGLIARI;1994;1
LAZIO;1994;1
VERONA;1994;1
