Stagione;Vincitore;url_Stemma
1970-71;INTER;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/INTER/1978.png?raw=true
1969-70;CAGLIARI;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/CAGLIARI/1970.png?raw=true
1968-69;FIORENTINA;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/FIORENTINA/1968.png?raw=true
1967-68;MILAN;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/MILAN/1979.png?raw=true
1966-67;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/1970.png?raw=true
1965-66;INTER;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/INTER/1978.png?raw=true
1964-65;INTER;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/INTER/1978.png?raw=true
1963-64;BOLOGNA;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/BOLOGNA/1963.png?raw=true
1962-63;INTER;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/INTER/1962.png?raw=true
1961-62;MILAN;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/MILAN/1979.png?raw=true
1960-61;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/1970.png?raw=true
1959-60;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/1970.png?raw=true
1958-59;MILAN;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/MILAN/1979.png?raw=true
1957-58;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/1970.png?raw=true
1956-57;MILAN;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/MILAN/1979.png?raw=true
1955-56;FIORENTINA;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/FIORENTINA/1968.png?raw=true
1954-55;MILAN;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/MILAN/1979.png?raw=true
1953-54;INTER;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/INTER/1959.png?raw=true
1952-53;INTER;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/INTER/1959.png?raw=true
1951-52;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/1970.png?raw=true
1950-51;MILAN;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/MILAN/1979.png?raw=true
1949-50;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/1970.png?raw=true
1948-49;TORINO;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/TORINO/1959.png?raw=true
1947-48;TORINO;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/TORINO/1959.png?raw=true
1946-47;TORINO;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/TORINO/1959.png?raw=true
1942-43;TORINO;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/TORINO/1959.png?raw=true
1941-42;ROMA;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/ROMA/1942.png?raw=true
