Stagione;Gruppo;Giornata;Sq casa;Sq tras;Gol casa;Gol tras;Pnt casa;Pnt tras
2019-20;A;1;Vanndoria;Doria Emiliana;0;0;60,5;64
2019-20;A;1;Aquile Estensi;Parter;1;0;63;0
2019-20;B;1;Cimamori la Verace;Agghiaggiande;1;0;61,5;0
2019-20;B;1;Diavoli Felsinei;Zena Viola;1;2;67;71,5
2019-20;A;2;Parter;Vanndoria;2;1;72;66
2019-20;A;2;The Lumberjacks;Aquile Estensi;0;2;65;73,5
2019-20;B;2;Zena Viola;Cimamori la Verace;0;1;65;70
2019-20;B;2;Agghiaggiande;Los Angeles Showtime;2;1;73,5;68
2019-20;A;3;Vanndoria;Aquile Estensi;1;1;70,5;67,5
2019-20;A;3;Doria Emiliana;The Lumberjacks;0;0;65;57
2019-20;B;3;Los Angeles Showtime;Zena Viola;0;1;50;64
2019-20;B;3;Cimamori la Verace;Diavoli Felsinei;1;0;69,5;62
2019-20;A;4;Parter;Doria Emiliana;;;;
2019-20;A;4;Vanndoria;The Lumberjacks;;;;
2019-20;B;4;Zena Viola;Agghiaggiande;;;;
2019-20;B;4;Diavoli Felsinei;Los Angeles Showtime;;;;
2019-20;A;5;The Lumberjacks;Parter;;;;
2019-20;A;5;Doria Emiliana;Aquile Estensi;;;;
2019-20;B;5;Los Angeles Showtime;Cimamori la Verace;;;;
2019-20;B;5;Agghiaggiande;Diavoli Felsinei;;;;
2019-20;A;6;Doria Emiliana;Vanndoria;;;;
2019-20;A;6;Parter;Aquile Estensi;;;;
2019-20;B;6;Agghiaggiande;Cimamori la Verace;;;;
2019-20;B;6;Zena Viola;Diavoli Felsinei;;;;
2019-20;A;7;Vanndoria;Parter;;;;
2019-20;A;7;Aquile Estensi;The Lumberjacks;;;;
2019-20;B;7;Cimamori la Verace;Zena Viola;;;;
2019-20;B;7;Los Angeles Showtime;Agghiaggiande;;;;
2019-20;A;8;Aquile Estensi;Vanndoria;;;;
2019-20;A;8;The Lumberjacks;Doria Emiliana;;;;
2019-20;B;8;Zena Viola;Los Angeles Showtime;;;;
2019-20;B;8;Diavoli Felsinei;Cimamori la Verace;;;;
2019-20;A;9;Doria Emiliana;Parter;;;;
2019-20;A;9;The Lumberjacks;Vanndoria;;;;
2019-20;B;9;Agghiaggiande;Zena Viola;;;;
2019-20;B;9;Los Angeles Showtime;Diavoli Felsinei;;;;
2019-20;A;10;Parter;The Lumberjacks;;;;
2019-20;A;10;Aquile Estensi;Doria Emiliana;;;;
2019-20;B;10;Cimamori la Verace;Los Angeles Showtime;;;;
2019-20;B;10;Diavoli Felsinei;Agghiaggiande;;;;
2019-20;Finale;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
